Epoch 1 | Time: 1968 | Nodes: 5402 | Edges: 127333 | log-lik: -2.42 | Elapsed 5037.37 s
Epoch 1 | Time: 1969 | Nodes: 5363 | Edges: 135743 | log-lik: -1.53 | Elapsed 5084.55 s
Epoch 1 | Time: 1970 | Nodes: 5664 | Edges: 136622 | log-lik: -1.73 | Elapsed 5132.06 s
Epoch 1 | Time: 1971 | Nodes: 6050 | Edges: 145354 | log-lik: -1.92 | Elapsed 5182.57 s
Epoch 1 | Time: 1972 | Nodes: 6161 | Edges: 154567 | log-lik: -1.62 | Elapsed 5239.63 s
Epoch 1 | Time: 1973 | Nodes: 6464 | Edges: 158803 | log-lik: -1.72 | Elapsed 5295.22 s
Epoch 1 | Time: 1974 | Nodes: 7486 | Edges: 161710 | log-lik: -1.70 | Elapsed 5358.06 s
Epoch 1 | Time: 1975 | Nodes: 7986 | Edges: 161050 | log-lik: -1.95 | Elapsed 5417.31 s
Epoch 1 | Time: 1976 | Nodes: 8258 | Edges: 160598 | log-lik: -1.90 | Elapsed 5474.18 s
Epoch 1 | Time: 1977 | Nodes: 8546 | Edges: 166060 | log-lik: -1.60 | Elapsed 5534.51 s
Epoch 1 | Time: 1978 | Nodes: 8744 | Edges: 171594 | log-lik: -1.48 | Elapsed 5592.39 s
Epoch 1 | Time: 1979 | Nodes: 9090 | Edges: 179625 | log-lik: -1.52 | Elapsed 5658.23 s
Epoch 1 | Time: 1980 | Nodes: 9767 | Edges: 181826 | log-lik: -1.46 | Elapsed 5724.24 s
Epoch 1 | Time: 1981 | Nodes: 9950 | Edges: 185683 | log-lik: -1.38 | Elapsed 5796.68 s
Epoch 1 | Time: 1982 | Nodes: 10035 | Edges: 195043 | log-lik: -1.87 | Elapsed 5870.99 s
Epoch 1 | Time: 1983 | Nodes: 10204 | Edges: 204268 | log-lik: -1.36 | Elapsed 5945.11 s
Epoch 1 | Time: 1984 | Nodes: 10278 | Edges: 213179 | log-lik: -1.36 | Elapsed 6027.51 s
Epoch 1 | Time: 1985 | Nodes: 10430 | Edges: 221905 | log-lik: -1.27 | Elapsed 6109.46 s
Epoch 1 | Time: 1986 | Nodes: 10668 | Edges: 229354 | log-lik: -1.32 | Elapsed 6199.00 s
Epoch 1 | Time: 1987 | Nodes: 10866 | Edges: 239000 | log-lik: -1.27 | Elapsed 6291.85 s
Epoch 1 | Time: 1988 | Nodes: 11117 | Edges: 250910 | log-lik: -1.31 | Elapsed 6391.67 s
Epoch 1 | Time: 1989 | Nodes: 11359 | Edges: 266536 | log-lik: -1.56 | Elapsed 6498.49 s
Epoch 1 | Time: 1990 | Nodes: 11552 | Edges: 277875 | log-lik: -1.27 | Elapsed 6604.95 s
Epoch 1 | Time: 1991 | Nodes: 11848 | Edges: 281421 | log-lik: -1.31 | Elapsed 6717.10 s
Epoch 1 | Time: 1992 | Nodes: 12118 | Edges: 284814 | log-lik: -1.48 | Elapsed 6828.67 s
Epoch 1 | Time: 1993 | Nodes: 12487 | Edges: 290025 | log-lik: -1.79 | Elapsed 6953.28 s
Epoch 1 | Time: 1994 | Nodes: 12790 | Edges: 300448 | log-lik: -1.35 | Elapsed 7076.83 s
Epoch 1 | Time: 1995 | Nodes: 12945 | Edges: 308525 | log-lik: -1.46 | Elapsed 7210.35 s
Epoch 1 | Time: 1996 | Nodes: 13110 | Edges: 315184 | log-lik: -1.35 | Elapsed 7346.74 s
Epoch 1 | Time: 1997 | Nodes: 13329 | Edges: 321325 | log-lik: -1.38 | Elapsed 7484.21 s
Epoch 1 | Time: 1998 | Nodes: 13524 | Edges: 335517 | log-lik: -1.34 | Elapsed 7626.86 s
Epoch 1 | Time: 1999 | Nodes: 13736 | Edges: 345124 | log-lik: -1.52 | Elapsed 7770.96 s
Epoch 1 | Time: 2000 | Nodes: 13882 | Edges: 364570 | log-lik: -1.34 | Elapsed 7924.49 s
Epoch 1 | Time: 2001 | Nodes: 13985 | Edges: 378426 | log-lik: -1.36 | Elapsed 8082.81 s
Epoch 1 | Time: 2002 | Nodes: 14112 | Edges: 393385 | log-lik: -1.35 | Elapsed 8246.98 s
Epoch 1 | Time: 2003 | Nodes: 14218 | Edges: 414568 | log-lik: -1.33 | Elapsed 8430.38 s
Epoch 1 | Time: 2004 | Nodes: 14338 | Edges: 438958 | log-lik: -1.28 | Elapsed 8622.40 s
Epoch 1 | Time: 2005 | Nodes: 14425 | Edges: 458814 | log-lik: -1.31 | Elapsed 8832.95 s
Epoch 1 | Time: 2006 | Nodes: 14553 | Edges: 478281 | log-lik: -1.31 | Elapsed 9054.35 s
Epoch 1 | Time: 2007 | Nodes: 14624 | Edges: 493777 | log-lik: -1.24 | Elapsed 9281.85 s
Epoch 1 | Time: 2008 | Nodes: 14704 | Edges: 510568 | log-lik: -1.28 | Elapsed 9520.86 s
Epoch 1 | Time: 2009 | Nodes: 14468 | Edges: 353605 | log-lik: -1.27 | Elapsed 9687.73 s
Epoch 2 | Time: 1947 | Nodes: 1433 | Edges: 797 | log-lik: -1.13 | Elapsed 9688.44 s
Epoch 2 | Time: 1948 | Nodes: 2488 | Edges: 2569 | log-lik: -1.33 | Elapsed 9689.22 s
Epoch 2 | Time: 1949 | Nodes: 2064 | Edges: 3636 | log-lik: -1.35 | Elapsed 9690.23 s
Epoch 2 | Time: 1950 | Nodes: 2203 | Edges: 8987 | log-lik: -1.40 | Elapsed 9692.60 s
Epoch 2 | Time: 1951 | Nodes: 2534 | Edges: 10680 | log-lik: -1.43 | Elapsed 9695.37 s
Epoch 2 | Time: 1952 | Nodes: 2115 | Edges: 10845 | log-lik: -1.45 | Elapsed 9698.15 s
Epoch 2 | Time: 1953 | Nodes: 2161 | Edges: 14531 | log-lik: -1.45 | Elapsed 9701.90 s
Epoch 2 | Time: 1954 | Nodes: 2161 | Edges: 16109 | log-lik: -1.48 | Elapsed 9706.03 s
Epoch 2 | Time: 1955 | Nodes: 2170 | Edges: 15962 | log-lik: -1.44 | Elapsed 9709.24 s
